GameID,TournamentName,StartDate,EndDate,City,Country,TeamPlay,TotalUSDPrize
37294,The International 2019,08/15/19,08/25/19,Shanghai,China,1,34330069.00
29385,The International 2018,08/15/18,08/25/18,Vancouver,Canada,1,25532177.00
24181,The International 2017,08/02/17,08/12/17,Seattle,United States,1,24687919.00
19287,The International 2016,08/03/16,08/13/16,Seattle,United States,1,20770460.00
12894,The International 2015,08/03/15,08/08/15,Seattle/Washington,United States,1,18429613.05
36422,Fortnite World Cup Finals 2019 - Solo,07/28/19,07/28/19,New York,United States,0,15287500.00
36359,Fortnite World Cup Finals 2019 - Duo,07/27/19,07/27/19,New York,United States,1,15100000.00
6418,The International 2014,07/08/14,07/21/14,Seattle/Washington,United States,1,10931103.00
46021,PGI.S 2021 Main Event,02/05/21,03/28/21,Incheon,South Korea,1,7068071.00
30411,LoL 2018 World Championship,10/01/18,11/03/18,Seoul,South Korea,1,6450000.00
20345,LoL 2016 World Championship,09/29/16,10/29/16,San Francisco,United States,1,5070000.00
25365,LoL 2017 World Championship,09/23/17,11/04/17,Wuhan,China,1,4946969.00
45303,Honor of Kings World Champion Cup 2020,07/15/20,08/16/20,Shanghai/Beijing,China,1,4606400.00
43235,Call of Duty League Championship 2019,08/19/20,08/30/20,N/A,North America,1,4600000.00
39365,PUBG Global Championship 2019,11/08/19,11/02/19,Manhattan Beach/Oakland,United States,1,4600000.00
30387,Fortnite Fall Skirmish Series - Clubs Standings,10/28/18,10/28/18,N/A,Online,1,4000000.00
38051,Overwatch League - Season 2 Playoffs,08/30/19,09/29/19,Los Angeles/Philadelphia,United States,1,3500000.00
36331,Fortnite World Cup Finals 2019 - Creative,07/26/19,07/26/19,New York,United States,1,3250000.00
9205,DAC 2015,01/05/15,02/09/15,Shangai,China,1,3057521.00
43694,Overwatch League 2020 - Playoffs - Grand Finals,10/08/20,10/10/20,N/A,Online,1,3050000.00
40441,Six Invitational 2020,02/07/20,02/16/20,Montreal,Canada,1,3000000.00
20867,The Boston Major 2016,12/03/16,12/10/16,Boston,United States,1,3000000.00
15444,The Frankfurt Major 2015,11/16/15,11/21/15,Frankfurt,Germany,1,3000000.00
23088,The Kiev Major 2017,04/24/17,04/30/17,Kiev,Ukraine,1,3000000.00
18758,The Manila Major 2016,06/03/16,06/12/16,Manila,Philippines,1,3000000.00
17314,The Shanghai Major 2016,03/02/16,03/06/16,Shangai,China,1,3000000.00
3163,The International 2013,08/02/13,08/11/13,Seattle &  Washington,United States,1,2874381.00
44740,Peacekeeper Elite League 2020 Season 3,09/25/20,10/25/20,Xi'an,China,1,2624145.60
8885,Smite World Championship 2015,01/09/15,01/01/15,Atlanta,United States,1,2612259.00
17526,Halo World Championship 2016,03/18/16,03/20/16,Hollywood,United States,1,2500000.00
43998,LoL 2020 World Championship,09/25/20,10/31/20,Shanghai,China,1,2340000.00
38992,LoL 2019 World Championship,10/02/19,11/10/19,Berlin,Germany,1,2225000.00
36883,Honor of Kings World Champion Cup 2019,07/10/19,08/10/19,Shenzhen,China,1,2166994.20
7376,LoL 2014 World Championship,09/18/14,10/19/14,Taipei/Singapore,Taiwan/Singapore,1,2130000.00
15149,LoL 2015 World Championship,10/01/15,10/31/15,Paris,France,1,2130000.00
3577,LoL Season 3 World Championship,09/15/13,10/04/13,Los Angeles,United States,1,2050000.00
19565,Call of Duty XP Championship 2016,09/01/16,09/04/16,Los Angeles,United States,1,2000000.00
36978,CWL Championship 2019,08/14/19,08/18/19,Los Angeles,United States,1,2000000.00
2655,LoL Season 2 World Championship,10/04/12,10/13/12,Los Angeles,United States,1,2000000.00
33130,Six Invitational 2019,02/11/19,02/17/19,Montreal,Canada,1,2000000.00
30359,Fortnite Fall Skirmish Series - Week 6 - Grand Finabls,10/28/18,10/28/18,San José,United States,1,1942500.00
44745,Peacekeeper Elite Championship 2020,11/14/20,11/15/20,Shanghai,China,1,1816080.00
36085,King Pro League Fall 2018,09/12/18,12/22/18,Chengdu/Shanghai,China,1,1740360.00
28780,Overwatch League - Season 1 Playoffs,07/11/18,07/28/18,New York,United States,1,1700000.00
23302,Mid-Season Invitational 2017,04/28/17,05/21/17,São Paulo,Brazil,1,1690000.00
2316,The International 2011,08/17/11,08/21/11,Cologne,Germany,1,1600000.00
2527,The International 2012,08/26/12,09/02/12,Seattle/Washington,United States,1,1600000.00
24197,CWL Championship 2017,08/09/17,08/13/17,Orlando,United States,1,1525000.00
29547,Fortnite Summer Skirmish Series - Week 8,08/03/18,09/03/18,Seattle,United States,0,1501250.00
28057,China Dota2 Supermajor 2018,06/02/18,06/10/18,Shanghai,China,1,1500000.00
29178,CWL Championship 2018,08/15/18,08/19/18,Columbus,United States,1,1500000.00
21643,WESG 2016 (CS:GO),01/12/17,01/15/17,Changzhou,China,1,1500000.00
21642,WESG 2016 (Dota 2),01/12/17,01/15/17,Changzhou,China,1,1500000.0
27168,WESG 2017 (CS:GO Male),03/13/18,03/18/18,Haikou,China,1,1500000.00
27167,WESG 2017 (Dota 2),03/13/18,03/18/18,Haikou/Hainan,China,1,1500000.00
19191,ELEAGUE Season 1,05/24/16,07/30/16,Atlanta,United States,1,1410000.00
40509,Shadowverse World Grand Prix 2019,12/25/19,12/27/19,Tokyo/Saitama,Japan,0,1387727.29
27858,Mid-Season Invitational 2018,05/03/18,05/20/18,Berlin/Paris,Germany/France,1,1370520.00
42804,Winter Royale 2019 EU Day 1 PC,12/20/19,12/20/19,N/A,Europe,1,1350000.00
42823,Winter Royale 2019 EU Day 2 PC,12/21/19,12/21/19,N/A,Europe,1,1350000.00
